original_text,true_label,predicted_label_svm
heran ya komen negatif makan siang anak salah mana kampanye yg suka sila unfollow bacot dech semangat psi,bukan ujaran kebencian,bukan ujaran kebencian
mas,bukan ujaran kebencian,bukan ujaran kebencian
gumush,bukan ujaran kebencian,bukan ujaran kebencian
mentang mentang deg dua ye ngejek,bukan ujaran kebencian,bukan ujaran kebencian
jilat lidah segar bos jatah hehe,ujaran kebencian,ujaran kebencian
wiwi,bukan ujaran kebencian,bukan ujaran kebencian
tunggu klarifikasi bro,bukan ujaran kebencian,bukan ujaran kebencian
ah sih bener cie,bukan ujaran kebencian,bukan ujaran kebencian
senang anniv weeding krasa tahun moga langgeng kakek nenek,bukan ujaran kebencian,bukan ujaran kebencian
uang,bukan ujaran kebencian,bukan ujaran kebencian
heran warganet rajin rajin sowan akun anak jokowi cela nyinyir niat banget lupa keluarga jokowi orang kebal biasa hina t sikap bijak dongkol,bukan ujaran kebencian,bukan ujaran kebencian
daftarin anak perut ya kakek,ujaran kebencian,bukan ujaran kebencian
orang biysa cntang biru diblz ra yo hhe keluarga bahagia,bukan ujaran kebencian,bukan ujaran kebencian
instan enak duduk jabat,ujaran kebencian,bukan ujaran kebencian
gbu always famili,bukan ujaran kebencian,bukan ujaran kebencian
lolos parlemen partai presiden tenang emis suara,ujaran kebencian,bukan ujaran kebencian
baca baca puisi,bukan ujaran kebencian,bukan ujaran kebencian
tau malu lu keluarga muka tembok cih,ujaran kebencian,ujaran kebencian
rsakan kakak erina ketemu kakak kaesang senyum ya kakak erina,bukan ujaran kebencian,bukan ujaran kebencian
usak kuntitusi mk,bukan ujaran kebencian,bukan ujaran kebencian
langgeng kakak lancar rezeki yo,bukan ujaran kebencian,bukan ujaran kebencian
bandung berlian land raja kavling vila kebun murah bandung raya jamin sila survei salah investasi untung investasi properti tanah naik harga tanah capai x lipat daerah kembang pinggir kota daerah wisata rumah kampus kawasan bandung barat alami kembang pesat stasiun whoosh padalarang susul bangun kota walini ciputra grup buka gerbang tol walini km orang bijak investasi kemarin tunggu harga milik kavling vila kebun kawasan kembang pesat menit minimarket pasar kantor camat menit kantor kbb menit stasiun whoosh padalarang menit tol padalarang menit kota parahyangan menit kota bandung via tol kavling whoosh harga rupiah ribu meter luas meter bonus gratis sertifikat hak milik spesifikasi kavling tanah legalitas jamin cocok bangun rumah villa listrik air mudah udara sejuk akses masuk mobil view indah prospek bagus investasi informasi hubung rikky,bukan ujaran kebencian,bukan ujaran kebencian
lugu lucu masyarakat indonesia doa keluarga doa tuhan,ujaran kebencian,bukan ujaran kebencian
ya mantu owi ayu,bukan ujaran kebencian,bukan ujaran kebencian
gurem,ujaran kebencian,bukan ujaran kebencian
mbak kakak kaesang blusuk buku warga rangka ya pakai rompi salah tulis anak mulyono benar paham,bukan ujaran kebencian,bukan ujaran kebencian
doa baik lindung tuhan sehat hamil nya proses salin lancar ade bayi lahir sehat sempurna ibu sehat papah nya sehat begadang semangat kakak,bukan ujaran kebencian,bukan ujaran kebencian
ya allah senang kakak erina kakak kaesang percaya jaga titip allah moga suami susul nanti sembilan selamat ya kakak sehat sehat dedek utun lahir,bukan ujaran kebencian,bukan ujaran kebencian
suka koar koar sederhana balik hidup sederhana koar koar dunia orang tolong orang miskin tolong ajak foto unggah sosmed liput berita nolong pamer citra munafik,bukan ujaran kebencian,bukan ujaran kebencian
gencar bgt pengin kuasa keluarga,bukan ujaran kebencian,ujaran kebencian
depok,bukan ujaran kebencian,bukan ujaran kebencian
terus tumbuh layu mawar,bukan ujaran kebencian,bukan ujaran kebencian
lihat kaesang umur th nikah urip,bukan ujaran kebencian,bukan ujaran kebencian
wkwk dasar keluarga aji mumpung,ujaran kebencian,ujaran kebencian
nek suami puji istri onok karepe ndang takoni mb kangmas ngersak aken nopo,bukan ujaran kebencian,bukan ujaran kebencian
semangat maskae kerja ya kakak biar tau,bukan ujaran kebencian,bukan ujaran kebencian
serame antusias masyarakat ganjar,bukan ujaran kebencian,bukan ujaran kebencian
tenang bos ajaj baru,bukan ujaran kebencian,bukan ujaran kebencian
harap moga depa istiqomah suami kerja moga hamil dik bayi sehat lahir lancar amiin,bukan ujaran kebencian,bukan ujaran kebencian
muka kakak kaesang,bukan ujaran kebencian,bukan ujaran kebencian
kakak,bukan ujaran kebencian,bukan ujaran kebencian
pohon cendana tebang tukang kayu damai e tau dedemit sambat keluarga sih tukang kayu karma demit cendana,bukan ujaran kebencian,bukan ujaran kebencian
favorit kakak kakak nya pasang kakak sweet ter unyu unyu mba,bukan ujaran kebencian,bukan ujaran kebencian
nanti milik anak doa usaha ajar syukur moga anak amin,bukan ujaran kebencian,bukan ujaran kebencian
keren kakak kaesang undang presiden,bukan ujaran kebencian,bukan ujaran kebencian
masyaallah ta barakallah moga kakak sehat panjang umur nya lancar salin nya bismilahirohmanirohim harap nya moga allah lancar rezeki suami allah mudah lunas hutang hutang moga harap allah kabul allah mudah hutang cepat lunas rumah tumpang rumah mertua lahaula walla quwwata illa bilah daya upaya tolong allah amin yarobal alamin,bukan ujaran kebencian,bukan ujaran kebencian
coblos nomor ganjar pranowo mahfud md indonesia maju unggul makmur sentosa sejahtera amin,bukan ujaran kebencian,bukan ujaran kebencian
harta beharga,bukan ujaran kebencian,bukan ujaran kebencian
kakak kaesang salam admin pakde rakyat nya korban meikarta loh,bukan ujaran kebencian,bukan ujaran kebencian
masik uang,bukan ujaran kebencian,ujaran kebencian
mas istri cantik,bukan ujaran kebencian,bukan ujaran kebencian
hamil bahagia kumpul keluarga pokok baik,bukan ujaran kebencian,bukan ujaran kebencian
tuhan tutup rapat aib keluarga eh bongkar mantu,ujaran kebencian,bukan ujaran kebencian
layar laut air mata,ujaran kebencian,bukan ujaran kebencian
kakak senyum nya balik,bukan ujaran kebencian,bukan ujaran kebencian
gas,bukan ujaran kebencian,bukan ujaran kebencian
asli nya kakak cantik td ketemu pas kakak pinjam toilet atm bank rakyat indonesia daerah abiansemal pas kakak kaesang tarik tunai uang,bukan ujaran kebencian,bukan ujaran kebencian
i suka kakak,bukan ujaran kebencian,bukan ujaran kebencian
saham wirg e say,bukan ujaran kebencian,bukan ujaran kebencian
kakak kaesang janji tahun urus engak serah tolong ya admin apa posting bilang kaesang,bukan ujaran kebencian,bukan ujaran kebencian
jokowi mind blowing sih menurutkutp juara bgt sehat jokowi,bukan ujaran kebencian,bukan ujaran kebencian
random ya,bukan ujaran kebencian,bukan ujaran kebencian
terima kasih kakak erin warna senyum masyarakat papua terima kasih nyaaman orang timur terima kasih kakak,bukan ujaran kebencian,bukan ujaran kebencian
anjir pas asa keren sad,bukan ujaran kebencian,bukan ujaran kebencian
malu minimal,ujaran kebencian,ujaran kebencian
syukur buat keburu nilai orang tetep semangat ya kakak cepat momong moga nular ya kakak amin lancar proses salin ya kakak,bukan ujaran kebencian,bukan ujaran kebencian
bilang potret guru,bukan ujaran kebencian,bukan ujaran kebencian
bismillah moga lancar gangsar lahir ibu cepat recovery adik bayi anak sholih sholihah taat adab amin,bukan ujaran kebencian,bukan ujaran kebencian
haus bahaya,bukan ujaran kebencian,ujaran kebencian
sayang persis solo kakak sayang degradasi,bukan ujaran kebencian,bukan ujaran kebencian
kakak ya tau menang ny,bukan ujaran kebencian,bukan ujaran kebencian
anak guys hanak presiden,bukan ujaran kebencian,bukan ujaran kebencian
betah istana,ujaran kebencian,bukan ujaran kebencian
tolong mertua pertanggungjawaban akhirat kelak berat amanah pimpin langgar,bukan ujaran kebencian,bukan ujaran kebencian
kakak kaesang coba deh ajar kakak gibran romantis deh kakak selvi ko lempeng lempeng kakak wakpres tpi prabowo gibran,bukan ujaran kebencian,bukan ujaran kebencian
mboh serah mas ra ngagas ecean aapa menuzuk hati,bukan ujaran kebencian,bukan ujaran kebencian
singapura seng suka mas jare alas e pilih muda,bukan ujaran kebencian,bukan ujaran kebencian
anak bangga mas haha ngakak,ujaran kebencian,bukan ujaran kebencian
a alamualaikum bismillah syukur panjat allah subhanahu whatsapp taala titip barakallah moga sehat lancar salin amin ya allah harap pribadi ku paruh hidup ku bahagia orang tua usia beban orang tua bahagiaa orang tua umur sehat sehat bahagia jauh sedih amin ya allah moga allah subhanahu whatsapp taala sempat bahagia orang tua amin kencang orang tua diri bahagia raja orang tuan rezeki mu raja,bukan ujaran kebencian,bukan ujaran kebencian
x,bukan ujaran kebencian,bukan ujaran kebencian
pinjam perhiasanya kondangan,bukan ujaran kebencian,bukan ujaran kebencian
moga anak masuk got ya allaah,ujaran kebencian,bukan ujaran kebencian
tenang sempak bobo minum susu tidur ketiak ayah,ujaran kebencian,bukan ujaran kebencian
prabowo gibran,bukan ujaran kebencian,bukan ujaran kebencian
politik riang gembira kaesang,bukan ujaran kebencian,bukan ujaran kebencian
keren receh pakai banget,bukan ujaran kebencian,bukan ujaran kebencian
kontrak laku ya bonus,bukan ujaran kebencian,bukan ujaran kebencian
sweet sih kakak,bukan ujaran kebencian,bukan ujaran kebencian
moso benar kakak,bukan ujaran kebencian,bukan ujaran kebencian
soko guru baik anak nurunkan ilmu indonesia maju ubah gen z generasi milenium leceh si tunjuk terus kendali negara ga orang langsung hebat proses ajar cerdas generasi gen z,bukan ujaran kebencian,bukan ujaran kebencian
etik admin nya kaesang,bukan ujaran kebencian,bukan ujaran kebencian
sekolah langsung lantik aja bupati walikota,ujaran kebencian,bukan ujaran kebencian
partai spanduk indonesia,bukan ujaran kebencian,bukan ujaran kebencian
ketua masak main medan sih biar menang kakak prabowo,bukan ujaran kebencian,bukan ujaran kebencian
dinasti jokowi,ujaran kebencian,ujaran kebencian
wkwk,bukan ujaran kebencian,bukan ujaran kebencian
tolong bantu je ica adil je ica,bukan ujaran kebencian,bukan ujaran kebencian
umrah pakai uang negara,bukan ujaran kebencian,ujaran kebencian
utututu nepo baby,ujaran kebencian,ujaran kebencian
kayak kaesang kali pasang deh selamat ya moga langgeng,bukan ujaran kebencian,bukan ujaran kebencian
habibi kayak dinasti politik lebih,bukan ujaran kebencian,ujaran kebencian
tum oh iya lupa ansk bapak,ujaran kebencian,bukan ujaran kebencian
atur strategi,bukan ujaran kebencian,ujaran kebencian
keluarga asu kutuk,ujaran kebencian,ujaran kebencian
terima kasih palestina dukung aku indonesia merdeka maaf palestina petinggi indonesia dukung palestina merdeka petinggi negara takut allah swt takut negara eropa dukung israel undang undang dasar negara republik indonesia buka sungguh merdeka hak bangsa jajah dunia hapus sesuai perikemanusiaan perikeadilan jajah hapus palestina merdeka,bukan ujaran kebencian,bukan ujaran kebencian
anggota psi anak wk,ujaran kebencian,bukan ujaran kebencian
teman tonton dirty pilih bom film dokumenter pata tokoh ahli hukum tata negara tayang channel dirty pilih yaa link nya pencet link nya direct me age yaa,bukan ujaran kebencian,bukan ujaran kebencian
jalur vip langsung tum,bukan ujaran kebencian,bukan ujaran kebencian
penasaran nama anak,bukan ujaran kebencian,bukan ujaran kebencian
kakak arafah jaga panti jompo sopan foto jomblo,bukan ujaran kebencian,bukan ujaran kebencian
kalah torik gledek,bukan ujaran kebencian,bukan ujaran kebencian
allah cantik kakak erinagudono,bukan ujaran kebencian,bukan ujaran kebencian
dosa kah,ujaran kebencian,bukan ujaran kebencian
manyala kasih keras capt ilmu padi abang,bukan ujaran kebencian,bukan ujaran kebencian
kalimat lucu of agustus sejarah indonesia social policy practice nyala istri anak presiden,ujaran kebencian,bukan ujaran kebencian
harap anjing harap,ujaran kebencian,bukan ujaran kebencian
kapann ya maksud nikah,bukan ujaran kebencian,bukan ujaran kebencian
kontol,ujaran kebencian,bukan ujaran kebencian
dinasti,bukan ujaran kebencian,ujaran kebencian
kelas anak presiden paham harga istri nama istri utama kurang hormat ngelahirin,bukan ujaran kebencian,bukan ujaran kebencian
kakak ina kakak kaesang harap jaehyun,bukan ujaran kebencian,bukan ujaran kebencian
smga hamil benar,bukan ujaran kebencian,bukan ujaran kebencian
bismillah pikir positif biar rezeki alir positif baik sangka allah,bukan ujaran kebencian,bukan ujaran kebencian
presiden anak walikota mantu walikota anak walikota mantaf,bukan ujaran kebencian,bukan ujaran kebencian
kenal psi rakyat pelosok kakak ketua,bukan ujaran kebencian,bukan ujaran kebencian
terima kasih,bukan ujaran kebencian,bukan ujaran kebencian
maaf luwes liat seram surat pemberitahuan tahun boneka seram,ujaran kebencian,bukan ujaran kebencian
bismillah moga mudah tesis lulus nilai baik kerja baik rida allah ta ala orang tua,bukan ujaran kebencian,bukan ujaran kebencian
tahan maju pilih gubernur dlu,bukan ujaran kebencian,ujaran kebencian
cantik moga amanah orang hasil aamiin,bukan ujaran kebencian,bukan ujaran kebencian
wuih sus selamat oernikahan nadine pesta sederhana acara lho,ujaran kebencian,bukan ujaran kebencian
bismillah moga ekonomi uang baik tabung beli rumah ank sehat nya sehat amin,bukan ujaran kebencian,bukan ujaran kebencian
pacar kaesang,bukan ujaran kebencian,bukan ujaran kebencian
selamat studi ya mba tolong kakak erina ajar sungguh sungguh tau sosial indonesia putar miskin struktural dampak akibat hamil kakak erina rentan eknonomi cukup gizi bayi oligarki korupsi kolusi nepotisme cipta oligarki saran kakak erina mahasiswa jurus sosial policy jumpa masyarakat susah jumpa masyarakat miskin milik sosial sulit kerja layak tanyak lanjut studi guru perempuan keras lindung privilege kakak dekat kuasa milik kompas moral empati kakak erina milik wajib tebus salah baik kondisi negara beda orang orang kakak sadar penuh rampok negara kaya orang orang miskin lahir dunia salah hukum sengsara daya ubah nasib kakak sosok perempuan pintar daya tinggal kakak putus solusi,bukan ujaran kebencian,bukan ujaran kebencian
cfa,bukan ujaran kebencian,bukan ujaran kebencian
social policy edukasi keluarga kah sih tingkah,ujaran kebencian,ujaran kebencian
aji mumpung,ujaran kebencian,bukan ujaran kebencian
punya inspiration sehat nular fibes positif lancar prsalinannya,bukan ujaran kebencian,bukan ujaran kebencian
ndeso nepotisme,ujaran kebencian,ujaran kebencian
minimal scalling bro,ujaran kebencian,ujaran kebencian
follow kakak,bukan ujaran kebencian,bukan ujaran kebencian
capek reformasi eh rugi sekolah pilih rusak negara,ujaran kebencian,bukan ujaran kebencian
rakyat malu keluarga,ujaran kebencian,ujaran kebencian
masha allah sehat selamat lancar lahir nya kakak moga adik bayi anak manfaat lindung allah subhanahu whatsapp taala aamiin harap ku moga istikamah bertaqwa iman allah subhanahu whatsapp taala,bukan ujaran kebencian,bukan ujaran kebencian
langgeng kakak,bukan ujaran kebencian,bukan ujaran kebencian
harap moga canda teman sahabat kurang orang canda bantu mampu deketi kasihan niat,bukan ujaran kebencian,bukan ujaran kebencian
nebeng ya gas ya,ujaran kebencian,bukan ujaran kebencian
oke uang coba s beasiswa kampus,ujaran kebencian,ujaran kebencian
terima kasih presiden cucu mu kasih hadiah menteri usia atur bisa ubah wakil presiden nya om nya terima kasih ya,bukan ujaran kebencian,bukan ujaran kebencian
tolong saudara copet handphone uang gelora karno saptu kesana istri dua profesi nya ojol cari uang hp lapor adu gbk nama pen supendi alamat kp candu legok tangerang nomer handphone curi mohon solusi bingung,bukan ujaran kebencian,bukan ujaran kebencian
sih cantik pintar berprestaai samawa ya,bukan ujaran kebencian,bukan ujaran kebencian
lovely,bukan ujaran kebencian,bukan ujaran kebencian
iya iya,bukan ujaran kebencian,bukan ujaran kebencian
dibiayain uang rakyat,ujaran kebencian,ujaran kebencian
lucu,bukan ujaran kebencian,bukan ujaran kebencian
heran orang sepinter prestasi km diam huru hara indonesia iya sih dukung dinasti,ujaran kebencian,ujaran kebencian
keluarga bikin rusuh negara,ujaran kebencian,ujaran kebencian
ya pas senyum,bukan ujaran kebencian,bukan ujaran kebencian
sakkarepmu kakak angger nguntal gapuro,bukan ujaran kebencian,bukan ujaran kebencian
harap garis amin kammi manti hadir buah hati,bukan ujaran kebencian,bukan ujaran kebencian
anggar aman,bukan ujaran kebencian,ujaran kebencian
aamiin bos sakjose,bukan ujaran kebencian,bukan ujaran kebencian
anak kayak urus politik tenang eh postingan biasa tabrak atur kali anak presiden,ujaran kebencian,bukan ujaran kebencian
kaesang junior coming soon,bukan ujaran kebencian,bukan ujaran kebencian
tolong adakan piala wapres kompetisi p i liga bina sepak bola usia ratus juta jiwa orang main bola nerkualitas bina usia dinya jalan tarik kompetisi sekolah lupa pesantren panti asuh anak jalan,ujaran kebencian,bukan ujaran kebencian
harap moga suami kerja tabung habis cincin kawin paksa djual syukur makan tumpang orangtua tp kasihan orang tua kurang sy doa moga kakak sehat lancar lahir aamiin,bukan ujaran kebencian,bukan ujaran kebencian
abg gibran,bukan ujaran kebencian,bukan ujaran kebencian
cantik cekal,bukan ujaran kebencian,bukan ujaran kebencian
berkah orang,bukan ujaran kebencian,bukan ujaran kebencian
mbacot valuable,bukan ujaran kebencian,bukan ujaran kebencian
istana,ujaran kebencian,bukan ujaran kebencian
isi hujat pantas sih isi,ujaran kebencian,bukan ujaran kebencian
tonton film dirty pilih ayo,bukan ujaran kebencian,bukan ujaran kebencian
selebriti palestina takut hilang kerja allah maha,bukan ujaran kebencian,bukan ujaran kebencian
oke,bukan ujaran kebencian,bukan ujaran kebencian
bicara jaket nya mas,bukan ujaran kebencian,bukan ujaran kebencian
huni rumah cek biologi ya teman,bukan ujaran kebencian,bukan ujaran kebencian
moga lancar salin kakak baby sehat sehat yaa biar anteng rumah coba sedia,bukan ujaran kebencian,bukan ujaran kebencian
subhanallah bahagia istri,bukan ujaran kebencian,bukan ujaran kebencian
lawak kakak,bukan ujaran kebencian,bukan ujaran kebencian
harap moga sehat rezeki lancar besok anak ulang moga acara lancar ammiin,bukan ujaran kebencian,bukan ujaran kebencian
gusi nya seram,ujaran kebencian,bukan ujaran kebencian
cantik bingit ht nya cantik rendah hati keluarga samawa aminx,bukan ujaran kebencian,bukan ujaran kebencian
tenang mbak lolos lolos komisi berantas korupsi mudah kejar,ujaran kebencian,bukan ujaran kebencian
agustus rakyat indonesia aksi moga allah jaga rakyat indonesia mohon sadar micek mbudeg mas astagfirullah,bukan ujaran kebencian,ujaran kebencian
umrah nya pakai uang rakyat,ujaran kebencian,ujaran kebencian
kesini gara gara video dasar ndeso,bukan ujaran kebencian,ujaran kebencian
kakak ceryl ku nya suka ditanyain bapa,bukan ujaran kebencian,bukan ujaran kebencian
bahagia,bukan ujaran kebencian,bukan ujaran kebencian
ma persis solo meh degradasi,bukan ujaran kebencian,bukan ujaran kebencian
laku manantu anggur mertua detik marah marah curhat,bukan ujaran kebencian,bukan ujaran kebencian
mantap mas cari suara kandang banteng strategi,bukan ujaran kebencian,bukan ujaran kebencian
ersofgun saudara air lembut gun ya hehe,bukan ujaran kebencian,bukan ujaran kebencian
bismillah sehat sehat ya kakak salin hamil moga sehat salin ya lancar mudah amin,bukan ujaran kebencian,bukan ujaran kebencian
kakak savage mas admin legendary,bukan ujaran kebencian,bukan ujaran kebencian
suit suit,bukan ujaran kebencian,bukan ujaran kebencian
aduh sosweet kakak gibran,bukan ujaran kebencian,bukan ujaran kebencian
ikkrwpio cxz,bukan ujaran kebencian,bukan ujaran kebencian
hati lu,ujaran kebencian,bukan ujaran kebencian
kampung beli seledri pasang suami istri sombong,bukan ujaran kebencian,ujaran kebencian
terjemahane mana,bukan ujaran kebencian,bukan ujaran kebencian
bsok akhirat malaikat tuhan ya tau,ujaran kebencian,bukan ujaran kebencian
selamat ya kakak sukses,bukan ujaran kebencian,bukan ujaran kebencian
masyaallah sehat sehat hamil pakmil,bukan ujaran kebencian,bukan ujaran kebencian
tegal lurus jokowi,bukan ujaran kebencian,bukan ujaran kebencian
sehat jokowi terima kasih pimpin indonesia biar anak anak terus,bukan ujaran kebencian,bukan ujaran kebencian
terima kasih,bukan ujaran kebencian,bukan ujaran kebencian
